Name,Abb,Actor_ID
ACAV,ACAV,1
Action Africa Help ,AAH,2
Action Against Hunger ,ACF,3
Adventist Development and Relief Agency ,ADRA,4
Africa ministry revival,Africa ministry revival,5
African Initiatives for Relief and Development ,AIRD,6
Agency for Cooperation and Research in Development  ,ACORD,7
Africa Humanitarian Action,AHA,8
American Refugee Committee ,ARC,9
Care and Assistance for Forced Migrants,CAFOMI,10
Care International ,CARE,11
Caritas  ,Caritas,12
Cesvi Onlus - Cooperazione e Sviluppo ,CESVI,13
Community Empowerment for Rural Development ,CEFORD,14
Concern World Wide ,CWW,15
Convention on the Rights of the Child,CRC,16
DanChurchAid ,DCA,17
Danish Refugee Council ,DRC,18
DHO,DHO,19
Finn Church Aid ,FCA,20
Finnish Refugee Council ,FRC,21
Food for the Hungry ,FH,22
"Government , Office of the Prime Minister ",OPM,23
Hebrew Immigrant Aid Society (HIAS),HIAS,24
Here is Life,Here is Life,25
Humanitarian Initiative Just Relief Aid ,HIJRA,26
Interaid Uganda ,IAU,27
International Aid Services ,IAS,28
International Committee of the Red Cross,ICRC,29
International Federation of Red Cross,IFRC,30
International organization for migration ,IOM,31
International Rescue Committee,IRC,32
Lutheran World Federation ,LWF,33
Malteser International ,MI,34
MSF ,MSF,35
Medical Teams International ,MTI,36
Mercy Corps,MC,37
Norwegian Refugee Council ,NRC,38
NSAMIZI,NSAMIZI,39
Obadiah Brothers Canada ,OBK,40
Oxfam ,OXFAM,41
Peace Winds Japan,Peace Wind,42
Peter C. Alderman Foundation ,PCAF,43
Plan International Uganda ,PLAN,44
Real Medicine Foundation ,RMF,45
Refugee Law Project,RLP,46
Rural Initiative for Community Empowerment ,RICE,47
Samaritan's Purse ,SP,48
Save the Children ,SCI,49
TCNs Ugandan nationals,TCNs Ugandan nationals,50
The Association of Volunteers in International Service ,AVSI,51
The Israel Forum for International Humanitarian Aid,IsraAID,52
Touch Africa ,TAN,53
Transcultural Psychosocial Organization ,TPO,54
Tutapona ,TUTAPONA,55
Uganda Government,Government_,56
Uganda Red Cross,URC,57
Ugandan Red Cross Society ,URCS,58
Ugandan Refugee and Disaster Management Council ,URDMC,59
United Nation Food Assistant Organization ,FAO,60
United Nation High Commissioner for Refugees ,UNHCR,61
United Nations Entity for Gender Equality and the Empowerment of Women ,UNWOMEN,62
United Nations International Children's Emergency Fund ,UNICEF,63
United Nations Population Fund ,UNFPA,64
Volunteer Efforts for Development Concerns ,VEDCO,66
War Child Canda ,WCC,67
War Child Holland ,WCH,68
Water Mission International ,WMI,69
Welthungerhilfe,WHH,71
Windle International Uganda ,WIU,72
World Food Programme ,WFP,73
World Health Organization ,WHO,74
World Vision International ,WVI,75
ZOA- Uganda ,ZOA,76
Arua - District Local Government ,Arua - District Local Government ,77
Lamwo - District Local Government ,Lamwo - District Local Government ,78
Hoima - District Local Government ,Hoima - District Local Government ,79
Isingiro - District Local Government ,Isingiro - District Local Government ,80
Kamwenge - District Local Government ,Kamwenge - District Local Government ,81
Koboko - District Local Government ,Koboko - District Local Government ,82
Kyegegwa - District Local Government ,Kyegegwa - District Local Government ,83
Kiryandongo - District Local Government ,Kiryandongo - District Local Government ,84
Moyo - District Local Government ,Moyo - District Local Government ,85
Yumbe - District Local Government ,Yumbe - District Local Government ,86
MSF-F,MSF-F,87
MSF-H,MSF-H,88
MSF-S,MSF-S,89
MSF-FR,MSF-FR,90
Raising Voices,RV,91
Catholic Organisation for Relief and Development Aid,CORDAID,92
Agency for Technical Cooperation and Development,ACTED,93
