Actor Name,Actor_ID,Settlement Name,Settlement_ID,Sector Name,Sector_ID,Project Name,Project_ID
OPM,23,Pagirinya Settlement,1,CP,1,,
OPM,23,"Maaji I,II, III",2,CP,1,,
OPM,23,"Mungula I, II",3,CP,1,,
OPM,23,Boroli,4,CP,1,,
OPM,23,Nyumanzi,5,CP,1,,
OPM,23,"Ayilo I,II",6,CP,1,,
OPM,23,Kuluba CP,8,CP,1,,
OPM,23,Ocea RC (Rhino),9,CP,1,,
OPM,23,Rhino settlement,10,CP,1,,
OPM,23,Imvepi Settlement,11,CP,1,,
OPM,23,Elegu CP,14,CP,1,,
OPM,23,Palorinya Settlement,15,CP,1,,
OPM,23,Kiryandongo TC,21,CP,1,,
OPM,23,Kiryandongo Settlement,22,CP,1,,
UNHCR,61,Pagirinya Settlement,1,CP,1,,
UNHCR,61,"Maaji I,II, III",2,CP,1,,
UNHCR,61,"Mungula I, II",3,CP,1,,
UNHCR,61,Kyangwali,7,CP,1,,
UNHCR,61,Kuluba CP,8,CP,1,,
UNHCR,61,Ocea RC (Rhino),9,CP,1,,
UNHCR,61,Rhino settlement,10,CP,1,,
UNHCR,61,Palabek Settlement,12,CP,1,,
UNHCR,61,Elegu CP,14,CP,1,,
UNHCR,61,Palorinya Settlement,15,CP,1,,
UNHCR,61,Kiryandongo TC,21,CP,1,,
UNHCR,61,Kiryandongo Settlement,22,CP,1,,
IAS,28,Rhino settlement,10,CP,1,,
UNICEF,63,Pagirinya Settlement,1,CP,1,,
UNICEF,63,Palorinya Settlement,15,CP,1,,
UNICEF,63,Kiryandongo Settlement,22,CP,1,,
UNFPA,64,Pagirinya Settlement,1,CP,1,,
UNFPA,64,"Maaji I,II, III",2,CP,1,,
UNFPA,64,"Mungula I, II",3,CP,1,,
UNFPA,64,Ocea RC (Rhino),9,CP,1,,
UNFPA,64,Rhino settlement,10,CP,1,,
UNFPA,64,Imvepi Settlement,11,CP,1,,
UNFPA,64,Palabek Settlement,12,CP,1,,
UNFPA,64,Kiryandongo TC,21,CP,1,,
UNFPA,64,Kiryandongo Settlement,22,CP,1,,
AAH,2,Kyangwali,7,CP,1,,
ACORD,7,Pagirinya Settlement,1,CP,1,,
ACORD,7,Nyumanzi,5,CP,1,,
ACORD,7,Elegu CP,14,CP,1,,
AVSI,51,Palabek Settlement,12,CP,1,,
CARE,11,Rhino settlement,10,CP,1,,
CARE,11,Imvepi Settlement,11,CP,1,,
Caritas,12,Palabek Settlement,12,CP,1,,
DRC,18,"Maaji I,II, III",2,CP,1,,
DRC,18,"Mungula I, II",3,CP,1,,
DRC,18,"Ayilo I,II",6,CP,1,,
DRC,18,Kuluba CP,8,CP,1,,
DRC,18,Ocea RC (Rhino),9,CP,1,,
DRC,18,Rhino settlement,10,CP,1,,
IAU,27,Kiryandongo TC,21,CP,1,,
IAU,27,Kiryandongo Settlement,22,CP,1,,
IRC,32,"Maaji I,II, III",2,CP,1,,
IRC,32,"Mungula I, II",3,CP,1,,
IRC,32,Nyumanzi,5,CP,1,,
IRC,32,Imvepi Settlement,11,CP,1,,
IRC,32,Kiryandongo TC,21,CP,1,,
IRC,32,Kiryandongo Settlement,22,CP,1,,
CESVI,13,Palabek Settlement,12,CP,1,,
RICE,47,Rhino settlement,10,CP,1,,
TPO,54,Pagirinya Settlement,1,CP,1,,
TPO,54,"Maaji I,II, III",2,CP,1,,
TPO,54,"Mungula I, II",3,CP,1,,
TPO,54,Boroli,4,CP,1,,
TPO,54,"Ayilo I,II",6,CP,1,,
TPO,54,Kiryandongo Settlement,22,CP,1,,
OBK,40,Kiryandongo Settlement,22,CP,1,,
PLAN,44,Boroli,4,CP,1,,
TUTAPONA,55,Pagirinya Settlement,1,CP,1,,
TUTAPONA,55,"Maaji I,II, III",2,CP,1,,
TUTAPONA,55,"Mungula I, II",3,CP,1,,
URCS,58,Ocea RC (Rhino),9,CP,1,,
URCS,58,Rhino settlement,10,CP,1,,
URCS,58,Imvepi Settlement,11,CP,1,,
URCS,58,Elegu CP,14,CP,1,,
URCS,58,Kiryandongo TC,21,CP,1,,
URCS,58,Kiryandongo Settlement,22,CP,1,,
WCC,67,Boroli,4,CP,1,,
WCC,67,Nyumanzi,5,CP,1,,
WCC,67,"Ayilo I,II",6,CP,1,,
WCC,67,Rhino settlement,10,CP,1,,
WCC,67,Kiryandongo Settlement,22,CP,1,,
WHH,71,Rhino settlement,10,CP,1,,
WTU,72,Ocea RC (Rhino),9,CP,1,,
WVI,75,Pagirinya Settlement,1,CP,1,,
WVI,75,"Maaji I,II, III",2,CP,1,,
WVI,75,Imvepi Settlement,11,CP,1,,
OXFAM,41,Palabek Settlement,12,CP,1,,
SCI,49,Pagirinya Settlement,1,CP,1,,
SCI,49,"Maaji I,II, III",2,CP,1,,
SCI,49,"Mungula I, II",3,CP,1,,
SCI,49,Kuluba CP,8,CP,1,,
SCI,49,Ocea RC (Rhino),9,CP,1,,
SCI,49,Rhino settlement,10,CP,1,,
SCI,49,Imvepi Settlement,11,CP,1,,
SCI,49,Elegu CP,14,CP,1,,
SCI,49,Kiryandongo TC,21,CP,1,,
SCI,49,Kiryandongo Settlement,22,CP,1,,
WCH,68,"Ayilo I,II",6,CP,1,,
FCA,20,Elegu CP,14,CP,1,,
LWF,33,Pagirinya Settlement,1,CP,1,,
LWF,33,Boroli,4,CP,1,,
LWF,33,Nyumanzi,5,CP,1,,
LWF,33,"Ayilo I,II",6,CP,1,,
LWF,33,Palabek Settlement,12,CP,1,,
LWF,33,Elegu CP,14,CP,1,,
LWF,33,Palorinya Settlement,15,CP,1,,
IsraAID,52,Pagirinya Settlement,1,CP,1,,
IsraAID,52,"Maaji I,II, III",2,CP,1,,
OPM,23,Bidibidi Settlement,13,CP,1,,
OPM,23,Rwamwanja,16,CP,1,,
OPM,23,Nyakabande TC,17,CP,1,,
UNHCR,61,Bidibidi Settlement,13,CP,1,,
UNHCR,61,Rwamwanja,16,CP,1,,
UNHCR,61,Nyakabande TC,17,CP,1,,
UNICEF,63,Bidibidi Settlement,13,CP,1,,
ADRA,4,Bidibidi Settlement,13,CP,1,,
ACORD,7,Rwamwanja,16,CP,1,,
ARC,9,Bidibidi Settlement,13,CP,1,,
ARC,9,Kyaka II settlement,20,CP,1,,
DRC,18,Kyaka II settlement,20,CP,1,,
IRC,32,Bidibidi Settlement,13,CP,1,,
TPO,54,Bidibidi Settlement,13,CP,1,,
PLAN,44,Bidibidi Settlement,13,CP,1,,
TUTAPONA,55,Rwamwanja,16,CP,1,,
TUTAPONA,55,Nakivale Settlement,18,CP,1,,
WCC,67,Bidibidi Settlement,13,CP,1,,
WCC,67,Rwamwanja,16,CP,1,,
WVI,75,Bidibidi Settlement,13,CP,1,,
SCI,49,Nyakabande TC,17,CP,1,,
WCH,68,Bidibidi Settlement,13,CP,1,,
LWF,33,Rwamwanja,16,CP,1,,
HIJRA,26,Nakivale Settlement,18,CP,1,,
URC,57,Rwamwanja,16,CP,1,,13
URC,57,Nyakabande TC,17,CP,1,,14
URC,57,Nakivale Settlement,18,CP,1,,15
URC,57,Oruchinga,19,CP,1,,16
URC,57,Kyaka II settlement,20,CP,1,,17
CAFOMI,10,Nyakabande TC,17,CP,1,,10
UNFPA,64,Bidibidi Settlement,13,CP,1,,
OPM,23,Boroli,4,SGBV,2,,
OPM,23,Nyumanzi,5,SGBV,2,,
OPM,23,"Ayilo I,II",6,SGBV,2,,
OPM,23,Rhino settlement,10,SGBV,2,,
OPM,23,Bidibidi Settlement,13,SGBV,2,,
UNHCR,61,Boroli,4,SGBV,2,,
UNHCR,61,Nyumanzi,5,SGBV,2,,
UNHCR,61,"Ayilo I,II",6,SGBV,2,,
UNHCR,61,Kyangwali,7,SGBV,2,,
UNHCR,61,Rhino settlement,10,SGBV,2,,
UNHCR,61,Bidibidi Settlement,13,SGBV,2,,
UNHCR,61,Kiryandongo Settlement,22,SGBV,2,,
HIAS,24,Kampala District,23,SGBV,2,,
UNFPA,64,Bidibidi Settlement,13,SGBV,2,,
UNFPA,64,Kampala District,23,SGBV,2,,
AAH,2,Kyangwali,7,SGBV,2,,
ACORD,7,Kyangwali,7,SGBV,2,,
ACORD,7,Palabek Settlement,12,SGBV,2,,
ARC,9,Kyangwali,7,SGBV,2,,
ARC,9,Bidibidi Settlement,13,SGBV,2,,
ARC,9,Nakivale Settlement,18,SGBV,2,,
ARC,9,Oruchinga,19,SGBV,2,,
DRC,18,"Maaji I,II, III",2,SGBV,2,,
DRC,18,"Mungula I, II",3,SGBV,2,,
DRC,18,"Ayilo I,II",6,SGBV,2,,
DRC,18,Kuluba CP,8,SGBV,2,,
DRC,18,Rhino settlement,10,SGBV,2,,
DRC,18,Kyaka II settlement,20,SGBV,2,,
IAU,27,Kiryandongo TC,21,SGBV,2,,
IAU,27,Kiryandongo Settlement,22,SGBV,2,,
IAU,27,Kampala District,23,SGBV,2,,
IRC,32,Imvepi Settlement,11,SGBV,2,,
IRC,32,Bidibidi Settlement,13,SGBV,2,,
MTI,36,Boroli,4,SGBV,2,,
MTI,36,Nyumanzi,5,SGBV,2,,
MTI,36,"Ayilo I,II",6,SGBV,2,,
MTI,36,Rhino settlement,10,SGBV,2,,
TPO,54,Boroli,4,SGBV,2,,
TPO,54,Nyumanzi,5,SGBV,2,,
TPO,54,"Ayilo I,II",6,SGBV,2,,
TPO,54,Kiryandongo Settlement,22,SGBV,2,,
UNWOMEN,62,Kampala District,23,SGBV,2,,
PLAN,44,Boroli,4,SGBV,2,,
PLAN,44,Nyumanzi,5,SGBV,2,,
RMF,45,Kiryandongo Settlement,22,SGBV,2,,
URCS,58,Imvepi Settlement,11,SGBV,2,,
WCC,67,Boroli,4,SGBV,2,,
WCC,67,Nyumanzi,5,SGBV,2,,
WCC,67,"Ayilo I,II",6,SGBV,2,,
WCC,67,Rhino settlement,10,SGBV,2,,
WCC,67,Bidibidi Settlement,13,SGBV,2,,
WCC,67,Kampala District,23,SGBV,2,,
PCAF,43,Rhino settlement,10,SGBV,2,,
LWF,33,Pagirinya Settlement,1,SGBV,2,,
LWF,33,Boroli,4,SGBV,2,,
LWF,33,Nyumanzi,5,SGBV,2,,
LWF,33,"Ayilo I,II",6,SGBV,2,,
LWF,33,Elegu CP,14,SGBV,2,,
LWF,33,Palorinya Settlement,15,SGBV,2,,
HIJRA,26,Nyakabande TC,17,SGBV,2,,
Government_,56,Rhino settlement,10,SGBV,2,,
AHA,8,Kyaka II settlement,20,SGBV,2,,
Arua - District Local Government ,77,Rhino settlement,10,SGBV,2,,
LWF,33,Rwamwanja,16,SGBV,2,,
AHA,8,Rwamwanja,16,SGBV,2,,
ACORD,7,Rwamwanja,16,SGBV,2,,18
UNHCR,61,Pagirinya Settlement,1,Education,3,,
UNHCR,61,"Maaji I,II, III",2,Education,3,,
UNHCR,61,"Ayilo I,II",6,Education,3,,
UNHCR,61,Bidibidi Settlement,13,Education,3,,
UNHCR,61,Elegu CP,14,Education,3,,
UNHCR,61,Rwamwanja,16,Education,3,,
UNHCR,61,Kiryandongo TC,21,Education,3,,
IAS,28,Rhino settlement,10,Education,3,,
UNICEF,63,Palorinya Settlement,15,Education,3,,
UNICEF,63,Nakivale Settlement,18,Education,3,,
UNICEF,63,Kiryandongo Settlement,22,Education,3,,
UNFPA,64,Palorinya Settlement,15,Education,3,,
AAH,2,"Ayilo I,II",6,Education,3,,
AVSI,51,Imvepi Settlement,11,Education,3,,
DRC,18,Kiryandongo Settlement,22,Education,3,,
FRC,21,Nyumanzi,5,Education,3,,
FRC,21,Palabek Settlement,12,Education,3,,
FRC,21,Elegu CP,14,Education,3,,
IRC,32,Kiryandongo Settlement,22,Education,3,,
TPO,54,Nyumanzi,5,Education,3,,
TPO,54,Kiryandongo TC,21,Education,3,,
PLAN,44,Pagirinya Settlement,1,Education,3,,
PLAN,44,"Maaji I,II, III",2,Education,3,,
PLAN,44,"Mungula I, II",3,Education,3,,
PLAN,44,Elegu CP,14,Education,3,,
PLAN,44,Kiryandongo Settlement,22,Education,3,,
NRC,38,Pagirinya Settlement,1,Education,3,,
NRC,38,"Maaji I,II, III",2,Education,3,,
NRC,38,Boroli,4,Education,3,,
NRC,38,Nyumanzi,5,Education,3,,
NRC,38,Kuluba CP,8,Education,3,,
WCC,67,Palorinya Settlement,15,Education,3,,
WCC,67,Nakivale Settlement,18,Education,3,,
WTU,72,Pagirinya Settlement,1,Education,3,,
WTU,72,"Maaji I,II, III",2,Education,3,,
WTU,72,"Mungula I, II",3,Education,3,,
WTU,72,Boroli,4,Education,3,,
WTU,72,Nyumanzi,5,Education,3,,
WTU,72,Imvepi Settlement,11,Education,3,,
WTU,72,Palabek Settlement,12,Education,3,,
WTU,72,Bidibidi Settlement,13,Education,3,,
WTU,72,Elegu CP,14,Education,3,,
WTU,72,Palorinya Settlement,15,Education,3,,
WTU,72,Rwamwanja,16,Education,3,,
WTU,72,Nakivale Settlement,18,Education,3,,
WTU,72,Oruchinga,19,Education,3,,
WTU,72,Kyaka II settlement,20,Education,3,,
WTU,72,Kiryandongo TC,21,Education,3,,
WTU,72,Kiryandongo Settlement,22,Education,3,,
WVI,75,Elegu CP,14,Education,3,,
WVI,75,Kiryandongo Settlement,22,Education,3,,
SCI,49,Pagirinya Settlement,1,Education,3,,
SCI,49,"Maaji I,II, III",2,Education,3,,
SCI,49,"Ayilo I,II",6,Education,3,,
SCI,49,Elegu CP,14,Education,3,,
SCI,49,Rwamwanja,16,Education,3,,
SCI,49,Nyakabande TC,17,Education,3,,
SCI,49,Kiryandongo TC,21,Education,3,,
SCI,49,Kiryandongo Settlement,22,Education,3,,
